hostile,Amethyst Golem,amethyst_golem,reward2_uncommon,spawn_amethyst_golem,adventurez
boss,Blackstone Golem,stone_golem,reward4_veryrare,spawn_stone_golem,adventurez
hostile,Blaze Guardian,blaze_guardian,reward2_uncommon,spawn_blaze_guardian,adventurez
neutral,Brown Fungus,brown_fungus,reward1_common,spawn_brown_fungus,adventurez
passive_land,Deer,deer,reward1_common,spawn_deer,adventurez
hostile,Desert Rhino,desert_rhino,reward2_uncommon,spawn_desert_rhino,adventurez
passive_land,Dragon,dragon,reward2_uncommon,spawn_dragon,adventurez
hostile,Enderwarthog,enderwarthog,reward2_uncommon,spawn_enderwarthog,adventurez
passive_land,Ender Whale,ender_whale,reward2_uncommon,spawn_ender_whale,adventurez
passive_land,Iguana,iguana,reward2_uncommon,spawn_iguana,adventurez
neutral,Mammoth,mammoth,reward1_common,spawn_mammoth,adventurez
hostile,Necromancer,necromancer,reward2_uncommon,spawn_necromancer,adventurez
passive_land,Nightmare,nightmare,reward2_uncommon,spawn_nightmare,adventurez
hostile,Orc,orc,reward2_uncommon,spawn_orc,adventurez
hostile,Piglin Beast,piglin_beast,reward2_uncommon,spawn_piglin_beast,adventurez
neutral,Red Fungus,red_fungus,reward1_common,spawn_red_fungus,adventurez
hostile,Shaman,shaman,reward2_uncommon,spawn_shaman,adventurez
hostile,Skeleton Vanguard,skeleton_vanguard,reward2_uncommon,spawn_skeleton_vanguard,adventurez
hostile,Soul Reaper,soul_reaper,reward2_uncommon,spawn_soul_reaper,adventurez
hostile,Summoner,summoner,reward3_rare,spawn_summoner,adventurez
boss,The Eye,the_eye,reward4_veryrare,spawn_the_eye,adventurez
passive_aqua,Cubozoa,cubozoa,reward2_uncommon,spawn_egg_cubozoa,betterend
passive_land,Dragonfly,dragonfly,reward2_uncommon,spawn_egg_dragonfly,betterend
passive_aqua,End Fish,end_fish,reward2_uncommon,spawn_egg_end_fish,betterend
hostile,End Slime,end_slime,reward2_uncommon,spawn_egg_end_slime,betterend
hostile,Shadow Walker,shadow_walker,reward3_rare,spawn_egg_shadow_walker,betterend
passive_land,Silk Moth,silk_moth,reward3_rare,spawn_egg_silk_moth,betterend
passive_land,Goop,goop,reward2_uncommon,goop_spawn_egg,ce
neutral,Dripstone Tortoise,dripstone_tortoise,reward2_uncommon,dripstone_tortoise_spawn_egg,ce
hostile,Cruncher,cruncher,reward2_uncommon,cruncher_spawn_egg,ce
